Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39
Benign,"[123udp9696SF, 96]","[8081tcp00REJ, 56]","[10icmp800OTH, 29]","[0icmp800OTH, 26]","[13icmp560OTH, 20]","[8080tcp00REJ, 19]","[1icmp800OTH, 19]","[80tcp00RSTO, 18]","[80tcp00REJ, 15]","[0icmp560OTH, 12]","[1icmp560OTH, 5]","[8081tcp00RSTO, 5]","[0icmp1360OTH, 4]","[1icmp880OTH, 3]","[3icmp800OTH, 3]","[13icmp800OTH, 2]","[13icmp840OTH, 2]","[17576tcp00REJ, 2]","[22tcp10082496OTH, 1]","[22tcp168444SF, 1]","[17576tcp00RSTOS0, 1]","[1icmp1120OTH, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 50]","[666tcp00REJ, 22]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 154484]","[52869tcp00REJ, 55]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 154525]","[37215tcp00REJ, 23]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 154495]","[80tcp00S0, 138938]","[8080tcp00S0, 15418]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[123udp9696SF, 124]","[10icmp800OTH, 117]","[8081tcp00REJ, 88]","[0icmp560OTH, 44]","[80tcp00RSTO, 42]","[1icmp800OTH, 35]","[80tcp00REJ, 28]","[0icmp800OTH, 23]","[13icmp560OTH, 18]","[0icmp1360OTH, 14]","[8080tcp00REJ, 9]","[1icmp560OTH, 9]","[8081tcp00RSTO, 5]","[17576tcp00REJ, 4]","[3icmp1600OTH, 4]","[3icmp800OTH, 2]","[1icmp880OTH, 2]","[5353udp8250S0, 2]","[3icmp880OTH, 2]","[1icmp1120OTH, 1]","[0icmp1600OTH, 1]","[1icmp1360OTH, 1]","[13icmp840OTH, 1]","[10icmp560OTH, 1]",,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 112]","[666tcp00REJ, 25]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284186]","[52869tcp00REJ, 116]","[52869tcp00RSTO, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284559]","[37215tcp00REJ, 62]","[37215tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284708]","[80tcp00S0, 256134]","[8080tcp00S0, 28451]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 99]","[10icmp800OTH, 77]","[123udp9696SF, 74]","[80tcp00REJ, 43]","[0icmp560OTH, 41]","[80tcp00RSTO, 36]","[0icmp800OTH, 33]","[1icmp800OTH, 33]","[8080tcp00REJ, 31]","[13icmp560OTH, 19]","[1icmp880OTH, 14]","[8081tcp00RSTO, 12]","[123udp960S0, 12]","[1icmp560OTH, 12]","[0icmp1360OTH, 9]","[8080tcp00RSTO, 5]","[17576tcp00REJ, 4]","[3icmp800OTH, 4]","[13icmp800OTH, 3]","[1icmp1360OTH, 2]","[0icmp2800OTH, 1]","[13icmp1360OTH, 1]","[13icmp840OTH, 1]","[80tcp201939SF, 1]","[80tcp00RSTOS0, 1]",,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 103]","[666tcp00REJ, 26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284541]","[52869tcp00REJ, 74]","[52869tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284566]","[37215tcp00REJ, 50]","[37215tcp00RSTO, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284530]","[80tcp00S0, 256256]","[8080tcp00S0, 28453]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attack,"[8080tcp00RSTO, 3]","[8080tcp2010S2, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 93]","[8081tcp00REJ, 77]","[123udp9696SF, 60]","[0icmp560OTH, 46]","[80tcp00REJ, 44]","[1icmp800OTH, 36]","[8080tcp00REJ, 32]","[0icmp800OTH, 29]","[13icmp560OTH, 22]","[80tcp00RSTO, 17]","[3icmp800OTH, 11]","[1icmp560OTH, 10]","[0icmp1360OTH, 10]","[123udp960S0, 8]","[8081tcp00RSTO, 8]","[17576tcp00REJ, 6]","[1icmp880OTH, 6]","[8080tcp00RSTO, 3]","[0icmp2800OTH, 2]","[8081tcp7820S2, 2]","[13icmp800OTH, 2]","[13icmp840OTH, 1]","[13icmp1360OTH, 1]","[0icmp1600OTH, 1]","[13icmp880OTH, 1]","[0icmp880OTH, 1]",,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 108]","[666tcp00REJ, 28]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284638]","[52869tcp00REJ, 141]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284407]","[37215tcp00REJ, 50]","[37215tcp00RSTO, 2]","[37215tcp821568SF, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284879]","[80tcp00S0, 256104]","[8080tcp00S0, 28430]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan-Attack,"[8080tcp00S0, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[8081tcp00REJ, 106]","[10icmp800OTH, 75]","[123udp9696SF, 55]","[0icmp560OTH, 48]","[1icmp800OTH, 43]","[80tcp00REJ, 38]","[8080tcp00REJ, 34]","[0icmp800OTH, 30]","[80tcp00RSTO, 25]","[13icmp560OTH, 24]","[1icmp560OTH, 12]","[0icmp1360OTH, 10]","[3icmp800OTH, 9]","[123udp960S0, 7]","[8081tcp00RSTO, 6]","[8080tcp00RSTO, 4]","[1icmp880OTH, 4]","[13icmp840OTH, 2]","[3icmp560OTH, 1]","[1icmp1360OTH, 1]","[0icmp880OTH, 1]",,,,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 101]","[666tcp00REJ, 31]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284520]","[52869tcp00REJ, 83]","[52869tcp00RSTO, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284408]","[37215tcp00REJ, 46]","[37215tcp00RSTO, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284511]","[80tcp00S0, 256113]","[8080tcp00S0, 28432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 82]","[8081tcp00REJ, 69]","[123udp9696SF, 58]","[1icmp800OTH, 44]","[0icmp560OTH, 41]","[80tcp00REJ, 37]","[0icmp800OTH, 35]","[80tcp00RSTO, 33]","[8080tcp00REJ, 20]","[13icmp560OTH, 13]","[3icmp800OTH, 11]","[0icmp1360OTH, 10]","[8081tcp00RSTO, 8]","[123udp960S0, 8]","[1icmp880OTH, 8]","[1icmp560OTH, 7]","[8080tcp00RSTO, 7]","[13icmp840OTH, 3]","[1icmp1360OTH, 2]","[17576tcp00REJ, 2]","[13icmp920OTH, 1]","[13icmp800OTH, 1]","[8080tcp2010S2, 1]","[80tcp201351SF, 1]","[13icmp880OTH, 1]",,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 117]","[666tcp00REJ, 20]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284478]","[52869tcp00REJ, 136]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284243]","[37215tcp00REJ, 51]","[37215tcp00RSTO, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284717]","[80tcp00S0, 256263]","[8080tcp00S0, 28462]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[10icmp800OTH, 74]","[123udp9696SF, 58]","[80tcp00RSTO, 34]","[8081tcp00REJ, 32]","[123udp960S0, 30]","[0icmp560OTH, 30]","[18344tcp00RSTOS0, 30]","[80tcp00REJ, 23]","[17832tcp00RSTOS0, 23]","[1icmp800OTH, 21]","[0icmp800OTH, 20]","[80tcp00RSTRH, 15]","[13icmp560OTH, 12]","[8080tcp00REJ, 10]","[17576tcp00RSTOS0, 10]","[1icmp560OTH, 10]","[0icmp1360OTH, 8]","[1icmp880OTH, 3]","[3icmp800OTH, 3]","[8081tcp00RSTO, 3]","[13icmp840OTH, 2]","[8080tcp00RSTRH, 2]","[123udp576576SF, 1]","[0icmp2800OTH, 1]","[3icmp880OTH, 1]","[0icmp2720OTH, 1]","[5355udp45225SF, 1]","[3icmp560OTH, 1]","[13icmp1360OTH, 1]","[13icmp800OTH, 1]","[123udp672576SF, 1]","[123udp11521056SF, 1]","[13icmp920OTH, 1]","[123udp384288SF, 1]",,,,,
C&C-HeartBeat,"[666tcp00S0, 131]","[666tcp00REJ, 10]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284545]","[52869tcp00REJ, 55]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284716]","[37215tcp00REJ, 62]","[37215tcp00RSTO, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284581]","[80tcp00S0, 255965]","[8080tcp00S0, 28432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp1560S0, 64]","[123udp960S0, 63]","[10icmp800OTH, 55]","[18344tcp00RSTOS0, 49]","[53udp900S0, 48]","[53udp9090SF, 48]","[17576tcp00RSTOS0, 47]","[17832tcp00RSTOS0, 41]","[80tcp00RSTRH, 38]","[0icmp560OTH, 33]","[80tcp00RSTO, 23]","[1icmp800OTH, 22]","[0icmp800OTH, 20]","[53udp1800S0, 16]","[13icmp560OTH, 13]","[8080tcp00RSTRH, 10]","[0icmp1360OTH, 9]","[1icmp880OTH, 4]","[17576tcp00REJ, 4]","[1icmp560OTH, 3]","[3icmp800OTH, 3]","[0icmp880OTH, 2]","[53udp780S0, 2]","[53udp78206SF, 2]","[0icmp1600OTH, 1]","[123udp18241728SF, 1]","[0icmp2800OTH, 1]","[3icmp880OTH, 1]","[5353udp16500S0, 1]","[123udp672576SF, 1]","[123udp23042208SF, 1]","[2icmp560OTH, 1]","[53udp360180SF, 1]","[53udp3120S0, 1]","[123udp384288SF, 1]","[123udp864768SF, 1]","[8080tcp00RSTO, 1]","[123udp9696SF, 1]","[17832tcp00REJ, 1]"
C&C-HeartBeat,"[666tcp00S0, 143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284450]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284611]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284631]","[80tcp00S0, 256116]","[8080tcp00S0, 28453]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 91]","[53udp900S0, 91]","[53udp1560S0, 90]","[18344tcp00RSTOS0, 66]","[10icmp800OTH, 49]","[17576tcp00RSTOS0, 37]","[80tcp00RSTRH, 36]","[17832tcp00RSTOS0, 34]","[1icmp800OTH, 31]","[123udp960S0, 30]","[80tcp00RSTO, 28]","[0icmp560OTH, 27]","[0icmp800OTH, 13]","[13icmp560OTH, 11]","[8080tcp00RSTRH, 10]","[53udp780S0, 8]","[1icmp880OTH, 8]","[0icmp1360OTH, 7]","[1icmp560OTH, 7]","[53udp78206SF, 5]","[0icmp880OTH, 3]","[123udp1920S0, 3]","[53udp156206SF, 3]","[8080tcp00RSTO, 2]","[0icmp2800OTH, 2]","[123udp288192SF, 1]","[123udp11521056SF, 1]","[123udp384288SF, 1]","[123udp480384SF, 1]","[18344tcp00REJ, 1]","[43406tcp00RSTOS0, 1]","[123udp672576SF, 1]","[123udp864768SF, 1]","[3icmp800OTH, 1]","[123udp17281632SF, 1]",,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284618]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284620]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284453]","[80tcp00S0, 256221]","[8080tcp00S0, 28468]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 114]","[53udp1560S0, 98]","[18344tcp00RSTOS0, 86]","[53udp900S0, 80]","[10icmp800OTH, 51]","[17576tcp00RSTOS0, 32]","[0icmp560OTH, 32]","[123udp960S0, 28]","[80tcp00RSTO, 26]","[17832tcp00RSTOS0, 25]","[0icmp800OTH, 21]","[80tcp00RSTRH, 21]","[1icmp800OTH, 16]","[1icmp560OTH, 10]","[0icmp1360OTH, 5]","[8080tcp00RSTRH, 4]","[53udp780S0, 3]","[1icmp880OTH, 3]","[17576tcp00REJ, 3]","[13icmp560OTH, 3]","[53udp78206SF, 2]","[123udp12481152SF, 2]","[0icmp880OTH, 2]","[3icmp800OTH, 2]","[13icmp840OTH, 2]","[123udp19201824SF, 1]","[123udp768672SF, 1]","[53udp156206SF, 1]","[123udp480384SF, 1]","[8080tcp00RSTO, 1]","[17832tcp00REJ, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 143]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284461]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284625]","[80tcp00S0, 256218]","[8080tcp00S0, 28464]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 153]","[53udp1560S0, 85]","[17576tcp00RSTOS0, 66]","[10icmp800OTH, 58]","[123udp960S0, 43]","[18344tcp00RSTOS0, 39]","[17832tcp00RSTOS0, 38]","[80tcp00RSTRH, 31]","[1icmp800OTH, 22]","[0icmp560OTH, 21]","[0icmp800OTH, 17]","[80tcp00RSTO, 17]","[53udp900S0, 15]","[1icmp560OTH, 9]","[17576tcp00REJ, 7]","[13icmp560OTH, 7]","[53udp78206SF, 6]","[53udp780S0, 6]","[8080tcp00RSTRH, 5]","[0icmp1360OTH, 4]","[3icmp800OTH, 3]","[53udp156206SF, 2]","[53udp90240SF, 2]","[123udp384288SF, 2]","[53udp7878SF, 2]","[17832tcp00REJ, 2]","[10icmp880OTH, 1]","[0icmp1600OTH, 1]","[123udp288192SF, 1]","[13icmp1360OTH, 1]","[123udp19201824SF, 1]","[123udp24962400SF, 1]","[1icmp880OTH, 1]","[8080tcp00RSTO, 1]",,,,,
C&C-HeartBeat,"[666tcp00S0, 142]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284454]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284637]","[80tcp00S0, 255916]","[8080tcp00S0, 28434]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 206]","[53udp1560S0, 102]","[18344tcp00RSTOS0, 48]","[17576tcp00RSTOS0, 43]","[17832tcp00RSTOS0, 39]","[10icmp800OTH, 37]","[80tcp00RSTRH, 28]","[123udp960S0, 27]","[80tcp00RSTO, 25]","[0icmp560OTH, 22]","[1icmp800OTH, 19]","[0icmp800OTH, 17]","[13icmp560OTH, 14]","[17576tcp00REJ, 8]","[3icmp800OTH, 8]","[0icmp1360OTH, 5]","[1icmp880OTH, 5]","[8080tcp00RSTRH, 4]","[53udp780S0, 3]","[13icmp840OTH, 2]","[53udp156206SF, 2]","[1icmp560OTH, 2]","[123udp672576SF, 2]","[8080tcp00RSTO, 2]","[13icmp1360OTH, 1]","[123udp16321536SF, 1]","[80tcp00REJ, 1]","[123udp13441248SF, 1]","[123udp288192SF, 1]","[50914tcp00REJ, 1]","[18344tcp00REJ, 1]","[53udp78206SF, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 142]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284450]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284775]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284476]","[80tcp00S0, 256369]","[8080tcp00S0, 28484]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 184]","[53udp1560S0, 93]","[18344tcp00RSTOS0, 81]","[10icmp800OTH, 54]","[123udp960S0, 37]","[17576tcp00RSTOS0, 31]","[80tcp00RSTRH, 27]","[0icmp560OTH, 25]","[1icmp800OTH, 24]","[80tcp00RSTO, 23]","[17832tcp00RSTOS0, 23]","[0icmp800OTH, 13]","[13icmp560OTH, 8]","[3icmp800OTH, 6]","[53udp780S0, 6]","[53udp156206SF, 4]","[1icmp560OTH, 4]","[17576tcp00REJ, 3]","[0icmp1360OTH, 3]","[8080tcp00RSTRH, 3]","[53udp78206SF, 2]","[13icmp840OTH, 2]","[1icmp880OTH, 2]","[3icmp1600OTH, 1]","[123udp672576SF, 1]","[123udp1920S0, 1]","[17832tcp00REJ, 1]","[0icmp880OTH, 1]","[123udp384288SF, 1]","[123udp12481152SF, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284775]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284620]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284463]","[80tcp00S0, 255918]","[8080tcp00S0, 28428]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 222]","[53udp1560S0, 111]","[18344tcp00RSTOS0, 88]","[10icmp800OTH, 46]","[17576tcp00RSTOS0, 37]","[123udp960S0, 25]","[1icmp800OTH, 25]","[17832tcp00RSTOS0, 24]","[0icmp800OTH, 23]","[0icmp560OTH, 22]","[80tcp00RSTRH, 20]","[80tcp00RSTO, 16]","[13icmp560OTH, 11]","[1icmp880OTH, 8]","[3icmp800OTH, 7]","[1icmp560OTH, 7]","[8080tcp00RSTRH, 5]","[0icmp1360OTH, 4]","[17576tcp00REJ, 4]","[13icmp840OTH, 2]","[0icmp1600OTH, 1]","[123udp768672SF, 1]","[8080tcp00RSTO, 1]","[0icmp2800OTH, 1]","[123udp672576SF, 1]","[123udp1056960SF, 1]",,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284455]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284634]","[80tcp00S0, 256057]","[8080tcp00S0, 28448]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 198]","[53udp1560S0, 98]","[18344tcp00RSTOS0, 69]","[17576tcp00RSTOS0, 47]","[10icmp800OTH, 41]","[80tcp00RSTRH, 35]","[17832tcp00RSTOS0, 31]","[80tcp00RSTO, 30]","[123udp960S0, 30]","[0icmp560OTH, 23]","[1icmp800OTH, 20]","[0icmp800OTH, 19]","[13icmp560OTH, 19]","[1icmp560OTH, 10]","[0icmp1360OTH, 7]","[17576tcp00REJ, 7]","[3icmp800OTH, 4]","[53udp78206SF, 4]","[53udp780S0, 4]","[1icmp880OTH, 3]","[8080tcp00RSTRH, 2]","[17832tcp00REJ, 2]","[8080tcp00RSTO, 2]","[123udp22082112SF, 1]","[0icmp2800OTH, 1]","[13icmp800OTH, 1]","[123udp384288SF, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 143]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284301]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284629]","[80tcp00S0, 256221]","[8080tcp00S0, 28468]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
