Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32,Fs33,Fs34,Fs35,Fs36,Fs37,Fs38,Fs39
Benign,"[53udp9090SF, 184]","[53udp1560S0, 93]","[18344tcp00RSTOS0, 61]","[17832tcp00RSTOS0, 58]","[10icmp800OTH, 54]","[123udp960S0, 41]","[17576tcp00RSTOS0, 35]","[80tcp00RSTRH, 27]","[80tcp00RSTO, 25]","[1icmp800OTH, 24]","[0icmp560OTH, 21]","[0icmp800OTH, 20]","[13icmp560OTH, 20]","[1icmp560OTH, 6]","[0icmp1360OTH, 5]","[8080tcp00RSTRH, 4]","[53udp780S0, 4]","[3icmp800OTH, 3]","[17576tcp00REJ, 3]","[53udp78206SF, 3]","[1icmp880OTH, 2]","[123udp384288SF, 2]","[44820tcp00RSTOS0, 1]","[123udp1056960SF, 1]","[53udp156206SF, 1]","[0icmp2800OTH, 1]","[123udp19201824SF, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284608]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284631]","[80tcp00S0, 255789]","[8080tcp00S0, 28415]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 174]","[53udp1560S0, 90]","[17576tcp00RSTOS0, 58]","[18344tcp00RSTOS0, 46]","[10icmp800OTH, 46]","[80tcp00RSTRH, 43]","[123udp960S0, 35]","[0icmp560OTH, 30]","[80tcp00RSTO, 26]","[0icmp800OTH, 22]","[17832tcp00RSTOS0, 21]","[1icmp800OTH, 17]","[13icmp560OTH, 13]","[0icmp1360OTH, 7]","[53udp780S0, 7]","[3icmp800OTH, 6]","[1icmp880OTH, 5]","[53udp78206SF, 5]","[1icmp560OTH, 5]","[8080tcp00RSTRH, 4]","[53udp1800S0, 4]","[8080tcp00RSTO, 2]","[17576tcp00REJ, 2]","[13icmp840OTH, 2]","[53udp156206SF, 2]","[3icmp3200OTH, 1]","[123udp576480SF, 1]","[123udp14401344SF, 1]","[17832tcp00REJ, 1]","[123udp1920S0, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284779]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284783]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284581]","[80tcp00S0, 256076]","[8080tcp00S0, 28448]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 180]","[18344tcp00RSTOS0, 91]","[53udp1560S0, 90]","[123udp960S0, 50]","[10icmp800OTH, 48]","[17576tcp00RSTOS0, 47]","[17832tcp00RSTOS0, 36]","[0icmp560OTH, 22]","[1icmp800OTH, 22]","[80tcp00RSTO, 16]","[0icmp800OTH, 16]","[80tcp00RSTRH, 12]","[1icmp560OTH, 6]","[13icmp560OTH, 5]","[0icmp1360OTH, 5]","[53udp780S0, 5]","[53udp156206SF, 4]","[1icmp880OTH, 4]","[3icmp800OTH, 3]","[17576tcp00REJ, 2]","[13icmp840OTH, 2]","[123udp672576SF, 1]","[0icmp920OTH, 1]","[0icmp1600OTH, 1]","[53udp78206SF, 1]","[8080tcp00RSTO, 1]","[45314tcp00RSTOS0, 1]","[1icmp1120OTH, 1]","[17832tcp00REJ, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 141]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284669]","[80tcp00S0, 256183]","[8080tcp00S0, 28464]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 184]","[53udp1560S0, 93]","[18344tcp00RSTOS0, 72]","[10icmp800OTH, 52]","[17576tcp00RSTOS0, 46]","[17832tcp00RSTOS0, 41]","[123udp960S0, 40]","[1icmp800OTH, 30]","[80tcp00RSTO, 25]","[80tcp00RSTRH, 23]","[0icmp560OTH, 22]","[0icmp800OTH, 19]","[13icmp560OTH, 13]","[1icmp560OTH, 7]","[53udp78206SF, 5]","[53udp780S0, 5]","[0icmp1360OTH, 4]","[3icmp800OTH, 4]","[8080tcp00RSTRH, 4]","[17576tcp00REJ, 3]","[1icmp880OTH, 2]","[17832tcp00REJ, 1]","[45396tcp00RSTOS0, 1]","[13icmp840OTH, 1]","[8080tcp00RSTO, 1]","[0icmp2800OTH, 1]","[0icmp1600OTH, 1]","[13icmp800OTH, 1]","[0icmp840OTH, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284623]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284466]","[80tcp00S0, 256217]","[8080tcp00S0, 28466]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 206]","[53udp1560S0, 102]","[17576tcp00RSTOS0, 68]","[18344tcp00RSTOS0, 66]","[17832tcp00RSTOS0, 38]","[123udp960S0, 38]","[10icmp800OTH, 36]","[1icmp800OTH, 27]","[0icmp560OTH, 25]","[80tcp00RSTO, 22]","[80tcp00RSTRH, 22]","[0icmp800OTH, 18]","[13icmp560OTH, 17]","[8080tcp00RSTRH, 8]","[1icmp560OTH, 5]","[0icmp1360OTH, 4]","[53udp780S0, 3]","[1icmp880OTH, 3]","[3icmp800OTH, 3]","[53udp78206SF, 2]","[1icmp1360OTH, 2]","[17576tcp00REJ, 2]","[53udp156206SF, 1]","[3icmp560OTH, 1]","[13icmp800OTH, 1]","[17832tcp00REJ, 1]",,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284781]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284614]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284453]","[80tcp00S0, 256197]","[8080tcp00S0, 28459]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 218]","[53udp1560S0, 109]","[17576tcp00RSTOS0, 58]","[18344tcp00RSTOS0, 47]","[10icmp800OTH, 47]","[17832tcp00RSTOS0, 39]","[0icmp560OTH, 28]","[80tcp00RSTRH, 25]","[123udp960S0, 22]","[80tcp00RSTO, 21]","[1icmp800OTH, 16]","[13icmp560OTH, 11]","[0icmp800OTH, 10]","[1icmp880OTH, 7]","[0icmp1360OTH, 4]","[3icmp800OTH, 4]","[8080tcp00RSTRH, 3]","[1icmp560OTH, 3]","[1icmp1360OTH, 2]","[17576tcp00REJ, 2]","[123udp576192SF, 1]","[3icmp560OTH, 1]","[8080tcp00RSTO, 1]",,,,,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284447]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284612]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284789]","[80tcp00S0, 256069]","[8080tcp00S0, 28447]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 163]","[53udp1560S0, 92]","[18344tcp00RSTOS0, 62]","[10icmp800OTH, 51]","[123udp960S0, 51]","[17832tcp00RSTOS0, 40]","[17576tcp00RSTOS0, 38]","[80tcp00RSTRH, 35]","[80tcp00RSTO, 25]","[1icmp800OTH, 23]","[0icmp560OTH, 18]","[0icmp800OTH, 14]","[13icmp560OTH, 12]","[0icmp1360OTH, 10]","[53udp1800S0, 10]","[1icmp560OTH, 9]","[53udp780S0, 6]","[53udp78206SF, 5]","[8080tcp00RSTRH, 3]","[17832tcp00REJ, 2]","[17576tcp00REJ, 2]","[53udp18090SF, 1]","[0icmp1600OTH, 1]","[53udp156206SF, 1]","[0icmp2880OTH, 1]","[1icmp880OTH, 1]","[8080tcp00RSTO, 1]","[3icmp800OTH, 1]","[0icmp920OTH, 1]","[45990tcp00RSTOS0, 1]","[0icmp2800OTH, 1]","[18344tcp00REJ, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 143]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284623]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284614]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284621]","[80tcp00S0, 256224]","[8080tcp00S0, 28465]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 194]","[53udp1560S0, 98]","[18344tcp00RSTOS0, 80]","[17576tcp00RSTOS0, 58]","[10icmp800OTH, 55]","[123udp960S0, 33]","[17832tcp00RSTOS0, 23]","[0icmp560OTH, 21]","[0icmp800OTH, 18]","[80tcp00RSTRH, 17]","[1icmp800OTH, 17]","[80tcp00RSTO, 12]","[13icmp560OTH, 10]","[17576tcp00REJ, 7]","[1icmp560OTH, 5]","[1icmp880OTH, 4]","[0icmp1360OTH, 4]","[53udp780S0, 3]","[8080tcp00RSTRH, 3]","[53udp78206SF, 2]","[8080tcp00RSTO, 2]","[3icmp800OTH, 2]","[13icmp800OTH, 1]","[53484tcp00REJ, 1]","[13icmp840OTH, 1]","[13icmp1360OTH, 1]","[0icmp2800OTH, 1]","[53udp156206SF, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284461]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284457]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284485]","[80tcp00S0, 255897]","[8080tcp00S0, 28437]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 210]","[53udp1560S0, 104]","[18344tcp00RSTOS0, 71]","[10icmp800OTH, 51]","[17832tcp00RSTOS0, 41]","[17576tcp00RSTOS0, 39]","[123udp960S0, 36]","[80tcp00RSTRH, 25]","[80tcp00RSTO, 25]","[0icmp560OTH, 20]","[1icmp800OTH, 18]","[0icmp800OTH, 15]","[13icmp560OTH, 14]","[1icmp560OTH, 8]","[8080tcp00RSTRH, 6]","[0icmp1360OTH, 5]","[8080tcp00RSTO, 4]","[17576tcp00REJ, 3]","[53udp78206SF, 2]","[13icmp1360OTH, 2]","[53udp780S0, 2]","[3icmp880OTH, 1]","[18344tcp00REJ, 1]","[0icmp2800OTH, 1]","[17832tcp00REJ, 1]","[3icmp800OTH, 1]","[1icmp1360OTH, 1]","[13icmp840OTH, 1]","[1icmp880OTH, 1]","[13icmp920OTH, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284304]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284623]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284625]","[80tcp00S0, 256207]","[8080tcp00S0, 28468]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 190]","[53udp1560S0, 95]","[10icmp800OTH, 49]","[18344tcp00RSTOS0, 43]","[123udp960S0, 39]","[17576tcp00RSTOS0, 38]","[80tcp00RSTRH, 34]","[17832tcp00RSTOS0, 30]","[0icmp560OTH, 30]","[1icmp800OTH, 23]","[80tcp00RSTO, 23]","[0icmp800OTH, 11]","[13icmp560OTH, 9]","[3icmp800OTH, 6]","[53udp780S0, 5]","[1icmp560OTH, 5]","[0icmp1360OTH, 4]","[53udp78206SF, 4]","[17576tcp00REJ, 4]","[8080tcp00RSTRH, 4]","[17832tcp00REJ, 3]","[1icmp880OTH, 3]","[8080tcp00RSTO, 1]","[3icmp880OTH, 1]","[56420tcp00REJ, 1]","[53udp156206SF, 1]",,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284601]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284440]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284789]","[80tcp00S0, 256067]","[8080tcp00S0, 28450]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 184]","[53udp1560S0, 93]","[18344tcp00RSTOS0, 64]","[10icmp800OTH, 49]","[123udp960S0, 44]","[17576tcp00RSTOS0, 41]","[17832tcp00RSTOS0, 32]","[0icmp560OTH, 29]","[80tcp00RSTRH, 22]","[80tcp00RSTO, 17]","[1icmp800OTH, 17]","[0icmp800OTH, 13]","[13icmp560OTH, 11]","[1icmp560OTH, 9]","[8080tcp00RSTRH, 5]","[53udp78206SF, 4]","[53udp780S0, 4]","[3icmp800OTH, 4]","[0icmp1360OTH, 3]","[17576tcp00REJ, 3]","[13icmp800OTH, 3]","[13icmp1360OTH, 2]","[1icmp880OTH, 2]","[123udp57696SF, 1]","[0icmp1600OTH, 1]","[0icmp1120OTH, 1]","[17832tcp00REJ, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284781]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284624]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284466]","[80tcp00S0, 256204]","[8080tcp00S0, 28462]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 142]","[53udp1560S0, 70]","[123udp960S0, 69]","[18344tcp00RSTOS0, 66]","[17576tcp00RSTOS0, 47]","[10icmp800OTH, 36]","[1icmp800OTH, 30]","[17832tcp00RSTOS0, 29]","[0icmp560OTH, 22]","[80tcp00RSTRH, 21]","[0icmp800OTH, 17]","[13icmp560OTH, 17]","[80tcp00RSTO, 17]","[53udp780S0, 13]","[53udp78206SF, 9]","[1icmp560OTH, 6]","[17576tcp00REJ, 4]","[53udp156206SF, 4]","[8080tcp00RSTRH, 4]","[0icmp1360OTH, 3]","[1icmp880OTH, 2]","[1icmp1120OTH, 1]","[8080tcp00RSTO, 1]","[0icmp1600OTH, 1]","[123udp67296SF, 1]","[3icmp800OTH, 1]","[0icmp2800OTH, 1]","[13icmp1360OTH, 1]","[123udp57696SF, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284604]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284621]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284628]","[80tcp00S0, 256195]","[8080tcp00S0, 28464]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 160]","[53udp1560S0, 81]","[18344tcp00RSTOS0, 75]","[123udp960S0, 60]","[17576tcp00RSTOS0, 53]","[10icmp800OTH, 44]","[0icmp560OTH, 27]","[80tcp00RSTRH, 22]","[0icmp800OTH, 16]","[80tcp00RSTO, 16]","[17832tcp00RSTOS0, 15]","[1icmp800OTH, 15]","[13icmp560OTH, 13]","[53udp780S0, 9]","[0icmp1360OTH, 8]","[53udp78206SF, 8]","[8080tcp00RSTRH, 6]","[1icmp560OTH, 5]","[3icmp800OTH, 5]","[17576tcp00REJ, 2]","[1icmp880OTH, 1]","[13icmp800OTH, 1]","[0icmp1120OTH, 1]","[123udp19296SF, 1]","[0icmp880OTH, 1]","[53udp156206SF, 1]","[47292tcp00RSTOS0, 1]","[0icmp2800OTH, 1]","[3icmp1600OTH, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 141]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284462]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284625]","[80tcp00S0, 255903]","[8080tcp00S0, 28432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 184]","[53udp1560S0, 91]","[18344tcp00RSTOS0, 76]","[17576tcp00RSTOS0, 52]","[123udp960S0, 47]","[10icmp800OTH, 38]","[0icmp560OTH, 30]","[80tcp00RSTRH, 26]","[17832tcp00RSTOS0, 26]","[1icmp800OTH, 24]","[0icmp800OTH, 19]","[13icmp560OTH, 11]","[80tcp00RSTO, 9]","[17576tcp00REJ, 8]","[3icmp800OTH, 7]","[1icmp560OTH, 6]","[53udp780S0, 5]","[1icmp880OTH, 4]","[8080tcp00RSTRH, 4]","[53udp78206SF, 3]","[53udp156206SF, 2]","[0icmp1360OTH, 2]","[0icmp2800OTH, 1]","[13icmp800OTH, 1]","[0icmp1120OTH, 1]","[18344tcp00REJ, 1]","[13icmp840OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 143]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284617]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284618]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284633]","[80tcp00S0, 256031]","[8080tcp00S0, 28446]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 166]","[53udp1560S0, 84]","[17576tcp00RSTOS0, 76]","[18344tcp00RSTOS0, 74]","[123udp960S0, 53]","[10icmp800OTH, 51]","[17832tcp00RSTOS0, 39]","[0icmp800OTH, 24]","[80tcp00RSTRH, 24]","[80tcp00RSTO, 22]","[0icmp560OTH, 17]","[1icmp800OTH, 15]","[13icmp560OTH, 13]","[1icmp560OTH, 9]","[0icmp1360OTH, 8]","[53udp78206SF, 7]","[53udp780S0, 7]","[3icmp800OTH, 5]","[8080tcp00RSTRH, 5]","[17576tcp00REJ, 5]","[1icmp880OTH, 3]","[47508tcp00RSTOS0, 1]","[17832tcp00REJ, 1]","[18344tcp00REJ, 1]","[8080tcp00RSTO, 1]","[2icmp560OTH, 1]",,,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284612]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284613]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284314]","[80tcp00S0, 256048]","[8080tcp00S0, 28448]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 184]","[53udp1560S0, 92]","[17576tcp00RSTOS0, 59]","[10icmp800OTH, 59]","[18344tcp00RSTOS0, 57]","[123udp960S0, 41]","[17832tcp00RSTOS0, 34]","[0icmp560OTH, 30]","[80tcp00RSTRH, 30]","[0icmp800OTH, 29]","[80tcp00RSTO, 24]","[1icmp800OTH, 18]","[13icmp560OTH, 10]","[1icmp560OTH, 7]","[53udp780S0, 6]","[8080tcp00RSTRH, 6]","[3icmp800OTH, 5]","[53udp78206SF, 5]","[0icmp1360OTH, 4]","[17576tcp00REJ, 4]","[13icmp840OTH, 2]","[8080tcp00RSTO, 2]","[1icmp880OTH, 2]","[17832tcp00REJ, 2]","[53udp156206SF, 1]","[13icmp1360OTH, 1]","[0icmp2720OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 144]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 284615]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 284631]","[80tcp00S0, 256219]","[8080tcp00S0, 28467]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 188]","[53udp1560S0, 93]","[18344tcp00RSTOS0, 66]","[10icmp800OTH, 60]","[17576tcp00RSTOS0, 52]","[123udp960S0, 44]","[80tcp00RSTRH, 35]","[17832tcp00RSTOS0, 30]","[1icmp800OTH, 28]","[80tcp00RSTO, 25]","[0icmp560OTH, 23]","[0icmp800OTH, 18]","[13icmp560OTH, 13]","[1icmp880OTH, 8]","[1icmp560OTH, 8]","[0icmp1360OTH, 8]","[3icmp800OTH, 6]","[53udp780S0, 5]","[8080tcp00RSTRH, 4]","[53udp78206SF, 4]","[17832tcp00REJ, 2]","[53udp156206SF, 1]","[13icmp840OTH, 1]","[123udp1920S0, 1]","[13icmp800OTH, 1]","[0icmp2800OTH, 1]","[0icmp880OTH, 1]",,,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 142]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 284618]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
